InvoiceNo,InvoiceDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount
INV0000131,6/26/2024,C0439,P012,1,81.26,81.26
INV0000132,5/20/2024,C0309,P056,4,71.66,286.64
INV0000133,2/17/2025,C0147,P057,1,1318.78,1318.78
INV0000134,3/23/2025,C0111,P059,3,414.05,1242.15
INV0000135,3/29/2025,C1614,P072,4,1085.66,4342.64
INV0000136,4/13/2025,C1427,P021,3,371.86,1115.58
INV0000137,10/16/2023,C0391,P008,4,403.58,1614.32
INV0000138,12/3/2023,C0822,P073,2,42.69,85.38
INV0000139,6/20/2025,C1370,P021,2,371.86,743.72
INV0000140,4/6/2025,C1249,P055,1,918.47,918.47
INV0000141,4/29/2024,C1911,P003,5,64.03,320.15
INV0000142,6/7/2025,C1387,P060,4,48.02,192.08
INV0000143,8/13/2024,C0240,P057,4,1318.78,5275.12
INV0000144,3/18/2025,C0563,P078,2,663.96,1327.92
INV0000145,7/30/2024,C0327,P063,2,1819.9,3639.8
INV0000146,7/3/2025,C1701,P037,3,1471.13,4413.39
INV0000147,9/5/2023,C0820,P010,3,465.52,1396.56
INV0000148,10/2/2024,,,3,663.96,1991.88
INV0000149,11/25/2023,C1256,P035,2,159.09,318.18
INV0000150,11/11/2024,C1345,P059,3,414.05,1242.15
INV0000151,7/28/2025,C1548,P015,2,79.62,159.24
INV0000152,1/14/2025,C1641,P042,3,25.06,75.18
INV0000153,10/17/2024,C1567,P008,2,403.58,807.16
INV0000154,5/30/2024,C0010,P044,2,29.11,58.22
INV0000155,1/28/2025,C1387,P033,3,15.22,45.66
INV0000156,5/13/2025,C1839,P044,5,29.11,145.55
INV0000157,7/17/2024,C1699,P003,3,64.03,192.09
INV0000158,1/2/2024,C1646,P013,1,35.78,35.78
INV0000159,8/18/2024,C0747,P016,5,1146.85,5734.25
INV0000160,2/27/2024,C0030,P078,1,663.96,663.96
INV0000161,3/9/2024,C0909,P064,3,1264.97,3794.91
INV0000162,11/2/2024,C0724,P069,2,466.09,932.18
INV0000163,12/8/2023,C1388,P014,2,388.53,777.06
INV0000164,1/17/2025,C0609,P017,3,22.3,66.9
INV0000165,4/8/2024,C0137,P006,1,1118.54,1118.54
INV0000166,3/2/2025,C1620,P072,5,1085.66,5428.3
INV0000167,6/14/2025,C0325,P001,4,766.52,3066.08
INV0000168,6/25/2024,C0828,P035,2,159.09,318.18
INV0000169,6/21/2025,C0853,P063,3,1819.9,5459.7
INV0000170,4/21/2025,C0430,P051,2,45.11,90.22
INV0000171,11/1/2023,C0738,P048,2,1036.36,2072.72
INV0000172,10/1/2023,C0665,P031,5,956.84,4784.2
INV0000173,7/7/2024,C1915,P002,1,2202.24,2202.24
INV0000174,11/13/2024,C0518,P075,4,95.97,383.88
INV0000175,1/25/2024,C1985,P011,2,49.79,99.58
INV0000176,12/5/2024,C0806,P010,1,465.52,465.52
INV0000177,8/22/2023,C1426,P027,3,1457.71,4373.13
INV0000178,3/29/2025,C1983,P018,5,301.85,1509.25
INV0000179,10/17/2023,C1336,P016,3,1146.85,3440.55
INV0000180,12/19/2024,C1921,P062,3,24.32,72.96
INV0000181,10/8/2023,C1618,P039,3,38.83,116.49
INV0000182,11/1/2023,C1835,P010,2,465.52,931.04
INV0000183,6/21/2024,C1773,P069,1,466.09,466.09
INV0000184,5/28/2024,C1956,P047,1,1479.53,1479.53
INV0000185,10/21/2023,C1731,P047,4,1479.53,5918.12
INV0000186,9/28/2023,C0055,P057,2,1318.78,2637.56
INV0000187,11/16/2024,C1403,P018,5,301.85,1509.25
INV0000188,7/22/2024,C0208,P040,5,621.13,3105.65
INV0000189,7/20/2024,C1212,P051,3,45.11,135.33
INV0000190,1/15/2024,C1042,P060,5,48.02,240.1
INV0000191,8/31/2024,C1950,P009,5,661.99,3309.95
INV0000192,11/26/2024,C1265,P011,5,49.79,248.95
INV0000193,4/6/2025,C0782,P019,4,42.98,171.92
INV0000194,2/15/2024,C1544,P070,1,45.31,45.31
INV0000195,5/9/2024,C0344,P077,3,825.61,2476.83
INV0000196,2/10/2024,C0983,P055,1,918.47,918.47
INV0000197,4/22/2024,C1539,P027,2,1457.71,2915.42
INV0000198,9/4/2023,C0394,P026,2,15.09,30.18
INV0000199,1/6/2025,C1092,P021,5,371.86,1859.3
INV0000200,3/10/2025,,,2,95.97,191.94
INV0000201,5/10/2025,C0545,P062,2,24.32,48.64
INV0000202,6/16/2024,C1493,P027,1,1457.71,1457.71
INV0000203,11/3/2023,C0501,P042,2,25.06,50.12
INV0000204,12/12/2024,C0013,P048,5,1036.36,5181.8
INV0000205,12/13/2023,C1506,P035,4,159.09,636.36
INV0000206,2/13/2024,C1289,P020,4,746.91,2987.64
INV0000207,12/10/2023,C1747,P052,3,54.83,164.49
INV0000208,10/9/2024,C0619,P055,2,918.47,1836.94
INV0000209,6/14/2024,C0180,P029,4,905.27,3621.08
INV0000210,8/27/2023,C1436,P004,3,522.46,1567.38
INV0000211,7/29/2025,C0597,P055,5,918.47,4592.35
INV0000212,7/31/2025,C1395,P023,3,671.66,2014.98
INV0000213,7/13/2025,C0841,P011,5,49.79,248.95
INV0000214,8/20/2024,C0736,P006,3,1118.54,3355.62
INV0000215,9/18/2023,C1955,P063,5,1819.9,9099.5
INV0000216,9/1/2023,C1149,P019,5,42.98,214.9
INV0000217,9/26/2023,C1837,P054,3,187.68,563.04
INV0000218,12/18/2024,C0794,P046,4,255.6,1022.4
INV0000219,9/9/2023,C0378,P067,2,1157.93,2315.86
INV0000220,12/6/2023,C1054,P043,1,832.69,832.69
INV0000221,1/2/2024,C1285,P008,3,403.58,1210.74
INV0000222,7/1/2025,C0653,P018,1,301.85,301.85
INV0000223,2/10/2024,C0976,P077,1,825.61,825.61
INV0000224,1/15/2025,C0692,P076,1,239.87,239.87
INV0000225,1/11/2025,C0847,P039,1,38.83,38.83
INV0000226,6/14/2025,C1053,P067,4,1157.93,4631.72
INV0000227,12/27/2024,C1918,P017,4,22.3,89.2
INV0000228,10/23/2023,C1303,P032,4,2107.87,8431.48
INV0000229,5/30/2024,C1577,P011,1,49.79,49.79
INV0000230,8/7/2025,C1830,P069,5,466.09,2330.45
INV0000231,4/11/2024,C0627,P078,2,663.96,1327.92
INV0000232,3/16/2025,C1465,P072,5,1085.66,5428.3
INV0000233,8/1/2024,C1503,P030,5,8.15,40.75
INV0000234,9/9/2024,C0222,P050,1,717.44,717.44
INV0000235,5/16/2024,C0067,P031,3,956.84,2870.52
INV0000236,11/28/2023,C1677,P040,3,621.13,1863.39
INV0000237,3/10/2025,C1028,P063,3,1819.9,5459.7
INV0000238,7/6/2024,C0606,P040,3,621.13,1863.39
INV0000239,5/27/2024,C0615,P039,1,38.83,38.83
INV0000240,6/16/2024,C0315,P074,1,1335.23,1335.23
INV0000241,3/2/2024,C0280,P062,3,24.32,72.96
INV0000242,7/5/2024,C1851,P049,1,1790.33,1790.33
INV0000243,1/27/2025,C0906,P028,1,106.3,106.3
INV0000244,8/10/2025,C1763,P064,2,1264.97,2529.94
INV0000245,5/9/2024,C0137,P050,2,717.44,1434.88
INV0000246,4/15/2025,C1692,P048,2,1036.36,2072.72
INV0000247,11/8/2024,C1966,P051,5,45.11,225.55
INV0000248,8/24/2023,C0515,P013,2,35.78,71.56
INV0000249,2/24/2025,C0249,P042,1,25.06,25.06
INV0000250,9/26/2023,C1527,P075,5,95.97,479.85
INV0000251,3/19/2024,C1014,P051,2,45.11,90.22
INV0000252,3/15/2024,C1336,P033,4,15.22,60.88
INV0000253,3/26/2024,C0325,P045,2,727.33,1454.66
INV0000254,3/23/2025,C1075,P061,1,341.1,341.1
INV0000255,12/16/2023,C0808,P051,5,45.11,225.55
INV0000256,9/27/2024,C1531,P011,3,49.79,149.37
INV0000257,3/2/2025,C0600,P030,1,8.15,8.15
INV0000258,7/17/2025,C0268,P019,5,42.98,214.9
INV0000259,12/24/2023,C1512,P042,3,25.06,75.18
INV0000260,8/28/2023,C0805,P009,2,661.99,1323.98
INV0000261,10/23/2023,C0883,P040,3,621.13,1863.39
INV0000262,11/20/2023,C1452,P051,5,45.11,225.55
INV0000263,12/30/2023,,,5,37.59,187.95
INV0000264,11/7/2024,C0002,P042,2,25.06,50.12
INV0000265,4/7/2025,C0562,P057,4,1318.78,5275.12
INV0000266,8/3/2024,C0294,P068,1,1594.04,1594.04
INV0000267,7/12/2025,C1833,P048,3,1036.36,3109.08
INV0000268,8/17/2024,C1493,P028,4,106.3,425.2
INV0000269,12/31/2023,C1284,P021,2,371.86,743.72
INV0000270,11/14/2024,C0369,P010,5,465.52,2327.6
INV0000271,10/5/2023,C0929,P053,2,640.22,1280.44
INV0000272,1/7/2024,C1541,P029,1,905.27,905.27
INV0000273,1/29/2024,C1603,P031,1,956.84,956.84
INV0000274,9/2/2023,C1868,P030,5,8.15,40.75
INV0000275,5/9/2024,C1530,P049,1,1790.33,1790.33
INV0000276,3/1/2025,C0704,P036,4,505.91,2023.64
INV0000277,11/24/2023,C0242,P074,5,1335.23,6676.15
INV0000278,9/11/2023,C0795,P071,5,38.6,193
INV0000279,8/16/2025,C0716,P068,1,1594.04,1594.04
INV0000280,1/11/2024,C1513,P046,2,255.6,511.2
INV0000281,11/6/2024,C1620,P017,4,22.3,89.2
INV0000282,9/30/2023,C0733,P012,2,81.26,162.52
INV0000283,11/22/2024,C1347,P022,3,838.55,2515.65
INV0000284,3/25/2025,C0822,P067,4,1157.93,4631.72
INV0000285,4/8/2025,C0309,P080,4,1674.29,6697.16
INV0000286,11/27/2024,C1507,P056,1,71.66,71.66
INV0000287,9/1/2023,C1430,P066,4,18.45,73.8
INV0000288,6/10/2024,C1139,P048,1,1036.36,1036.36
INV0000289,2/1/2025,C0623,P038,3,2331.73,6995.19
INV0000290,8/12/2025,C1519,P071,2,38.6,77.2
INV0000291,2/4/2025,C1077,P031,1,956.84,956.84
INV0000292,10/16/2023,C0864,P050,3,717.44,2152.32
INV0000293,9/20/2024,,,3,239.87,719.61
INV0000294,10/13/2023,C1600,P012,5,81.26,406.3
INV0000295,7/27/2024,C1538,P030,4,8.15,32.6
INV0000296,6/3/2024,C1258,P071,4,38.6,154.4
INV0000297,2/16/2024,C1900,P016,5,1146.85,5734.25
INV0000298,8/7/2024,C1777,P036,1,505.91,505.91
INV0000299,6/7/2024,C1800,P042,1,25.06,25.06
INV0000300,2/22/2025,C0377,P028,1,106.3,106.3
INV0000301,7/8/2024,C0658,P028,4,106.3,425.2
INV0000302,3/9/2025,C0241,P059,3,414.05,1242.15
INV0000303,9/1/2023,C0747,P036,3,505.91,1517.73
INV0000304,8/12/2025,C1260,P007,5,1171.1,5855.5
INV0000305,1/4/2025,C0296,P003,3,64.03,192.09
INV0000306,12/11/2024,C1506,P049,4,1790.33,7161.32
INV0000307,2/24/2024,C0826,P037,4,1471.13,5884.52
INV0000308,7/9/2025,C1261,P060,5,48.02,240.1
INV0000309,4/8/2025,C1065,P026,1,15.09,15.09
INV0000310,1/7/2025,C0810,P033,4,15.22,60.88
INV0000311,1/17/2024,C0404,P059,1,414.05,414.05
INV0000312,9/21/2023,C1592,P078,5,663.96,3319.8
INV0000313,1/14/2024,C0203,P036,3,505.91,1517.73
INV0000314,8/6/2025,C1017,P004,1,522.46,522.46
INV0000315,9/26/2024,,,2,1457.71,2915.42
INV0000316,1/19/2024,C1987,P028,1,106.3,106.3
INV0000317,7/11/2025,C1663,P026,1,15.09,15.09
INV0000318,3/12/2025,C1290,P017,5,22.3,111.5
INV0000319,1/31/2024,C0240,P066,3,18.45,55.35
INV0000320,10/8/2023,C0789,P018,5,301.85,1509.25
INV0000321,12/20/2023,C0549,P054,3,187.68,563.04
INV0000322,7/8/2024,C1116,P075,5,95.97,479.85
INV0000323,4/19/2024,C1603,P072,3,1085.66,3256.98
INV0000324,2/12/2024,C1761,P017,5,22.3,111.5
INV0000325,1/14/2025,C1313,P049,5,1790.33,8951.65
INV0000326,7/12/2024,C1557,P070,5,45.31,226.55
INV0000327,5/8/2025,C1336,P080,2,1674.29,3348.58
INV0000328,7/16/2025,C1103,P004,5,522.46,2612.3
INV0000329,2/17/2024,C1856,P034,4,383.59,1534.36
INV0000330,6/10/2025,C0030,P014,2,388.53,777.06
INV0000331,12/16/2024,C0389,P036,1,505.91,505.91
INV0000332,4/10/2025,C1047,P027,2,1457.71,2915.42
INV0000333,3/21/2024,C0807,P023,5,671.66,3358.3
INV0000334,7/21/2025,C0221,P016,4,1146.85,4587.4
INV0000335,6/4/2024,C1948,P061,1,341.1,341.1
INV0000336,5/25/2025,C0864,P064,1,1264.97,1264.97
INV0000337,10/2/2024,C0208,P053,1,640.22,640.22
INV0000338,3/10/2024,C0339,P063,5,1819.9,9099.5
INV0000339,3/25/2024,C0819,P012,2,81.26,162.52
INV0000340,2/18/2025,C1713,P011,5,49.79,248.95
INV0000341,9/12/2023,C1663,P037,4,1471.13,5884.52
INV0000342,8/22/2024,C0973,P010,4,465.52,1862.08
INV0000343,6/5/2024,C0538,P005,1,9.36,9.36
INV0000344,7/13/2025,C0750,P025,1,1008.24,1008.24
INV0000345,6/13/2024,C1951,P068,2,1594.04,3188.08
INV0000346,12/15/2024,C1965,P008,3,403.58,1210.74
INV0000347,5/6/2024,C0949,P018,4,301.85,1207.4
INV0000348,6/15/2024,C0023,P046,3,255.6,766.8
INV0000349,10/4/2023,C1759,P028,2,106.3,212.6
INV0000350,1/2/2024,C0788,P061,3,341.1,1023.3
INV0000351,11/3/2023,C1179,P044,2,29.11,58.22
INV0000352,1/26/2025,C1419,P006,2,1118.54,2237.08
INV0000353,5/7/2025,C1326,P040,4,621.13,2484.52
INV0000354,2/5/2025,C0102,P024,1,37.59,37.59
INV0000355,12/7/2024,C1561,P030,4,8.15,32.6
INV0000356,11/8/2024,C1942,P020,4,746.91,2987.64
INV0000357,2/22/2025,C1192,P015,2,79.62,159.24
INV0000358,2/25/2025,C1546,P078,3,663.96,1991.88
INV0000359,2/8/2025,C1919,P009,1,661.99,661.99
INV0000360,10/15/2024,C0946,P075,2,95.97,191.94
INV0000361,5/22/2024,C1133,P040,4,621.13,2484.52
INV0000362,5/9/2025,C0696,P055,5,918.47,4592.35
INV0000363,8/29/2023,C1473,P071,3,38.6,115.8
INV0000364,9/24/2024,C1239,P047,1,1479.53,1479.53
INV0000365,9/9/2023,C0413,P080,5,1674.29,8371.45
INV0000366,7/2/2025,C1214,P044,5,29.11,145.55
INV0000367,3/16/2025,C1172,P065,3,127.04,381.12
INV0000368,10/10/2024,C1900,P020,3,746.91,2240.73
INV0000369,3/19/2025,C1913,P044,3,29.11,87.33
INV0000370,7/2/2025,C1096,P069,1,466.09,466.09
INV0000371,5/31/2025,C1854,P065,1,127.04,127.04
INV0000372,1/14/2024,C0160,P039,3,38.83,116.49
INV0000373,1/13/2024,C0788,P023,1,671.66,671.66
INV0000374,1/24/2025,C0198,P009,1,661.99,661.99
INV0000375,4/24/2025,C1090,P067,1,1157.93,1157.93
INV0000376,11/4/2023,C0442,P056,2,71.66,143.32
INV0000377,10/27/2023,C0798,P016,5,1146.85,5734.25
INV0000378,5/15/2025,C0780,P050,4,717.44,2869.76
INV0000379,9/12/2023,C1681,P053,2,640.22,1280.44
INV0000380,10/19/2023,C0531,P030,4,8.15,32.6
INV0000381,5/20/2024,C1336,P070,2,45.31,90.62
INV0000382,3/31/2024,C1315,P003,4,64.03,256.12
INV0000383,7/31/2024,C1397,P005,4,9.36,37.44
INV0000384,1/11/2024,C1487,P013,4,35.78,143.12
INV0000385,3/2/2024,C0430,P052,5,54.83,274.15
INV0000386,2/26/2024,C0188,P003,3,64.03,192.09
INV0000387,3/1/2024,C0107,P043,3,832.69,2498.07
INV0000388,4/24/2024,C0193,P028,2,106.3,212.6
INV0000389,4/20/2025,C0156,P007,5,1171.1,5855.5
INV0000390,7/12/2025,C0756,P038,2,2331.73,4663.46
INV0000391,8/27/2024,C0813,P079,1,453.25,453.25
INV0000392,9/1/2024,C1766,P066,5,18.45,92.25
INV0000393,9/26/2023,C0275,P067,4,1157.93,4631.72
INV0000394,3/6/2024,C1417,P018,1,301.85,301.85
INV0000395,7/8/2024,C0381,P009,3,661.99,1985.97
INV0000396,9/4/2023,C0955,P034,2,383.59,767.18
INV0000397,11/25/2023,C1789,P059,1,414.05,414.05
INV0000398,10/21/2023,C0935,P070,3,45.31,135.93
INV0000399,3/6/2025,C0875,P008,3,403.58,1210.74
INV0000400,5/18/2024,C0032,P053,3,640.22,1920.66
INV0000401,5/14/2025,C1850,P009,4,661.99,2647.96
INV0000402,11/30/2024,C1906,P037,3,1471.13,4413.39
INV0000403,6/11/2025,C1985,P053,5,640.22,3201.1
INV0000404,6/17/2025,C1315,P047,4,1479.53,5918.12
INV0000405,1/2/2025,C1234,P050,3,717.44,2152.32
INV0000406,12/27/2024,C1828,P073,4,42.69,170.76
INV0000407,2/25/2024,C1260,P034,5,383.59,1917.95
INV0000408,4/6/2024,C1707,P065,1,127.04,127.04
INV0000409,4/20/2025,C0602,P067,5,1157.93,5789.65
INV0000410,11/13/2024,C1251,P033,4,15.22,60.88
INV0000411,12/19/2024,C1762,P064,4,1264.97,5059.88
INV0000412,10/12/2024,C0528,P024,5,37.59,187.95
INV0000413,7/9/2024,C0690,P051,2,45.11,90.22
INV0000414,12/2/2024,C0945,P069,2,466.09,932.18
INV0000415,9/13/2023,C0989,P045,2,727.33,1454.66
INV0000416,7/23/2025,C1232,P031,2,956.84,1913.68
INV0000417,12/4/2024,C0223,P062,1,24.32,24.32
INV0000418,6/28/2024,C0946,P057,2,1318.78,2637.56
INV0000419,9/16/2024,C1748,P077,2,825.61,1651.22
INV0000420,3/23/2025,C1560,P063,3,1819.9,5459.7
INV0000421,10/8/2024,C0596,P052,2,54.83,109.66
INV0000422,4/25/2025,C1155,P011,3,49.79,149.37
INV0000423,2/1/2025,C1960,P007,4,1171.1,4684.4
INV0000424,2/5/2024,C0549,P005,4,9.36,37.44
INV0000425,1/13/2024,C1325,P016,2,1146.85,2293.7
INV0000426,6/11/2024,C1835,P026,1,15.09,15.09
INV0000427,5/19/2024,C0648,P045,2,727.33,1454.66
INV0000428,1/19/2024,C0910,P016,3,1146.85,3440.55
INV0000429,6/25/2024,C0360,P003,3,64.03,192.09
INV0000430,1/27/2024,C0469,P058,5,19.95,99.75
INV0000431,4/28/2025,C1958,P079,3,453.25,1359.75
INV0000432,9/6/2024,C1168,P071,1,38.6,38.6
INV0000433,5/13/2024,C0212,P078,2,663.96,1327.92
INV0000434,11/2/2024,C0859,P007,2,1171.1,2342.2
INV0000435,10/1/2023,C1294,P003,2,64.03,128.06
INV0000436,1/14/2024,C0548,P053,4,640.22,2560.88
INV0000437,3/23/2025,C0718,P042,3,25.06,75.18
INV0000438,9/19/2023,C1914,P053,3,640.22,1920.66
INV0000439,6/27/2025,C1860,P015,4,79.62,318.48
INV0000440,9/29/2023,C1762,P028,5,106.3,531.5
INV0000441,3/24/2025,C1708,P076,1,239.87,239.87
INV0000442,8/7/2025,C0813,P066,5,18.45,92.25
INV0000443,6/27/2025,C0353,P012,5,81.26,406.3
INV0000444,1/21/2025,C1822,P031,1,956.84,956.84
INV0000445,10/12/2023,C0298,P024,2,37.59,75.18
INV0000446,9/22/2024,C1663,P053,1,640.22,640.22
INV0000447,8/27/2023,C1518,P022,5,838.55,4192.75
INV0000448,5/17/2024,C1090,P061,1,341.1,341.1
INV0000449,7/6/2024,C0370,P009,2,661.99,1323.98
INV0000450,12/11/2023,C1644,P076,5,239.87,1199.35
INV0000451,3/17/2024,C1567,P080,4,1674.29,6697.16
INV0000452,8/12/2024,C1628,P030,1,8.15,8.15
INV0000453,2/13/2024,C0030,P035,4,159.09,636.36
